Date,City,Country,% Change In Waze Driven Miles/KMs
"Mar 1, 2020",London,United Kingdom,0.05
"Mar 2, 2020",London,United Kingdom,-0.01
"Mar 3, 2020",London,United Kingdom,0
"Mar 4, 2020",London,United Kingdom,0.02
"Mar 5, 2020",London,United Kingdom,0.04
"Mar 6, 2020",London,United Kingdom,-0.01
"Mar 7, 2020",London,United Kingdom,0.01
"Mar 8, 2020",London,United Kingdom,-0.01
"Mar 9, 2020",London,United Kingdom,-0.01
"Mar 10, 2020",London,United Kingdom,-0.01
"Mar 11, 2020",London,United Kingdom,-0.03
"Mar 12, 2020",London,United Kingdom,-0.03
"Mar 13, 2020",London,United Kingdom,-0.07
"Mar 14, 2020",London,United Kingdom,-0.11
"Mar 15, 2020",London,United Kingdom,-0.17
"Mar 16, 2020",London,United Kingdom,-0.16
"Mar 17, 2020",London,United Kingdom,-0.14
"Mar 18, 2020",London,United Kingdom,-0.2
"Mar 19, 2020",London,United Kingdom,-0.21
"Mar 20, 2020",London,United Kingdom,-0.32
"Mar 21, 2020",London,United Kingdom,-0.52
"Mar 22, 2020",London,United Kingdom,-0.6
"Mar 23, 2020",London,United Kingdom,-0.42
"Mar 24, 2020",London,United Kingdom,-0.54
"Mar 25, 2020",London,United Kingdom,-0.62
"Mar 26, 2020",London,United Kingdom,-0.65
"Mar 27, 2020",London,United Kingdom,-0.66
"Mar 28, 2020",London,United Kingdom,-0.76
"Mar 29, 2020",London,United Kingdom,-0.81
"Mar 30, 2020",London,United Kingdom,-0.66
"Mar 31, 2020",London,United Kingdom,-0.65
"Apr 1, 2020",London,United Kingdom,-0.66
"Apr 2, 2020",London,United Kingdom,-0.67
"Apr 3, 2020",London,United Kingdom,-0.67
"Apr 4, 2020",London,United Kingdom,-0.76
"Apr 5, 2020",London,United Kingdom,-0.8
"Apr 6, 2020",London,United Kingdom,-0.65
"Apr 7, 2020",London,United Kingdom,-0.65
"Apr 8, 2020",London,United Kingdom,-0.65
"Apr 9, 2020",London,United Kingdom,-0.64
"Apr 10, 2020",London,United Kingdom,-0.74
"Apr 11, 2020",London,United Kingdom,-0.77
"Apr 12, 2020",London,United Kingdom,-0.81
"Apr 13, 2020",London,United Kingdom,-0.75
"Apr 14, 2020",London,United Kingdom,-0.65
"Apr 15, 2020",London,United Kingdom,-0.66
"Apr 16, 2020",London,United Kingdom,-0.67
"Apr 17, 2020",London,United Kingdom,-0.67
"Apr 18, 2020",London,United Kingdom,-0.75
"Apr 19, 2020",London,United Kingdom,-0.78
"Apr 20, 2020",London,United Kingdom,-0.62
"Apr 21, 2020",London,United Kingdom,-0.62
"Apr 22, 2020",London,United Kingdom,-0.62
"Apr 23, 2020",London,United Kingdom,-0.64
"Apr 24, 2020",London,United Kingdom,-0.64
"Apr 25, 2020",London,United Kingdom,-0.73
"Apr 26, 2020",London,United Kingdom,-0.76
"Apr 27, 2020",London,United Kingdom,-0.61
"Apr 28, 2020",London,United Kingdom,-0.6
"Apr 29, 2020",London,United Kingdom,-0.61
"Apr 30, 2020",London,United Kingdom,-0.62
"May 1, 2020",London,United Kingdom,-0.61
"May 2, 2020",London,United Kingdom,-0.7
"May 3, 2020",London,United Kingdom,-0.75
"May 4, 2020",London,United Kingdom,-0.58
"May 5, 2020",London,United Kingdom,-0.58
"May 6, 2020",London,United Kingdom,-0.58
"May 7, 2020",London,United Kingdom,-0.55
"May 8, 2020",London,United Kingdom,-0.66
"May 9, 2020",London,United Kingdom,-0.67
"May 10, 2020",London,United Kingdom,-0.72
"May 11, 2020",London,United Kingdom,-0.55
"May 12, 2020",London,United Kingdom,-0.54
"May 13, 2020",London,United Kingdom,-0.54
"May 14, 2020",London,United Kingdom,-0.54
"May 15, 2020",London,United Kingdom,-0.53
"May 16, 2020",London,United Kingdom,-0.61
"May 17, 2020",London,United Kingdom,-0.64
"May 18, 2020",London,United Kingdom,-0.49
"May 19, 2020",London,United Kingdom,-0.48
"May 20, 2020",London,United Kingdom,-0.44
"May 21, 2020",London,United Kingdom,-0.48
"May 22, 2020",London,United Kingdom,-0.46
"May 23, 2020",London,United Kingdom,-0.56
"May 24, 2020",London,United Kingdom,-0.57
"May 25, 2020",London,United Kingdom,-0.42
"May 26, 2020",London,United Kingdom,-0.36
"May 27, 2020",London,United Kingdom,-0.41
"May 28, 2020",London,United Kingdom,-0.42
"May 29, 2020",London,United Kingdom,-0.4
"May 30, 2020",London,United Kingdom,-0.45
"May 31, 2020",London,United Kingdom,-0.49
"Jun 1, 2020",London,United Kingdom,-0.36
"Jun 2, 2020",London,United Kingdom,-0.34
"Jun 3, 2020",London,United Kingdom,-0.39
"Jun 4, 2020",London,United Kingdom,-0.41
"Jun 5, 2020",London,United Kingdom,-0.38
"Jun 6, 2020",London,United Kingdom,-0.46
"Jun 7, 2020",London,United Kingdom,-0.49
"Jun 8, 2020",London,United Kingdom,-0.37
"Jun 9, 2020",London,United Kingdom,-0.34
"Jun 10, 2020",London,United Kingdom,-0.36
"Jun 11, 2020",London,United Kingdom,-0.38
"Jun 12, 2020",London,United Kingdom,-0.39
"Jun 13, 2020",London,United Kingdom,-0.37
"Jun 14, 2020",London,United Kingdom,-0.43
"Jun 15, 2020",London,United Kingdom,-0.3
"Jun 16, 2020",London,United Kingdom,-0.31
"Jun 17, 2020",London,United Kingdom,-0.34
"Jun 18, 2020",London,United Kingdom,-0.35
"Jun 19, 2020",London,United Kingdom,-0.3
"Jun 20, 2020",London,United Kingdom,-0.3
"Jun 21, 2020",London,United Kingdom,-0.38
"Jun 22, 2020",London,United Kingdom,-0.28
"Jun 23, 2020",London,United Kingdom,-0.22
"Jun 24, 2020",London,United Kingdom,-0.2
"Jun 25, 2020",London,United Kingdom,-0.16
"Jun 26, 2020",London,United Kingdom,-0.19
"Jun 27, 2020",London,United Kingdom,-0.3
"Jun 28, 2020",London,United Kingdom,-0.35
"Jun 29, 2020",London,United Kingdom,-0.25
"Jun 30, 2020",London,United Kingdom,-0.23
"Jul 1, 2020",London,United Kingdom,-0.24
"Jul 2, 2020",London,United Kingdom,-0.24
"Jul 3, 2020",London,United Kingdom,-0.22
"Jul 4, 2020",London,United Kingdom,-0.26
"Jul 5, 2020",London,United Kingdom,-0.25
"Jul 6, 2020",London,United Kingdom,-0.19
"Jul 7, 2020",London,United Kingdom,-0.14
"Jul 8, 2020",London,United Kingdom,-0.17
"Jul 9, 2020",London,United Kingdom,-0.19
"Jul 10, 2020",London,United Kingdom,-0.23
"Jul 11, 2020",London,United Kingdom,-0.2
"Jul 12, 2020",London,United Kingdom,-0.19
"Jul 13, 2020",London,United Kingdom,-0.16
"Jul 14, 2020",London,United Kingdom,-0.24
"Jul 15, 2020",London,United Kingdom,-0.17
"Jul 16, 2020",London,United Kingdom,-0.18
"Jul 17, 2020",London,United Kingdom,-0.11
"Jul 18, 2020",London,United Kingdom,-0.16
"Jul 19, 2020",London,United Kingdom,-0.23
"Jul 20, 2020",London,United Kingdom,-0.19
"Jul 21, 2020",London,United Kingdom,-0.17
"Jul 22, 2020",London,United Kingdom,-0.14
"Jul 23, 2020",London,United Kingdom,-0.16
"Jul 24, 2020",London,United Kingdom,-0.14
"Jul 25, 2020",London,United Kingdom,-0.18
"Jul 26, 2020",London,United Kingdom,-0.22
"Jul 27, 2020",London,United Kingdom,-0.16
"Jul 28, 2020",London,United Kingdom,-0.14
"Jul 29, 2020",London,United Kingdom,-0.13
"Jul 30, 2020",London,United Kingdom,-0.16
"Jul 31, 2020",London,United Kingdom,-0.09
"Aug 1, 2020",London,United Kingdom,-0.1
"Aug 2, 2020",London,United Kingdom,-0.14
"Aug 3, 2020",London,United Kingdom,-0.12
"Aug 4, 2020",London,United Kingdom,-0.13
"Aug 5, 2020",London,United Kingdom,-0.12
"Aug 6, 2020",London,United Kingdom,-0.13
"Aug 7, 2020",London,United Kingdom,-0.09
"Aug 8, 2020",London,United Kingdom,-0.11
"Aug 9, 2020",London,United Kingdom,-0.13
"Aug 10, 2020",London,United Kingdom,-0.07
"Aug 11, 2020",London,United Kingdom,-0.08
"Aug 12, 2020",London,United Kingdom,-0.07
"Aug 13, 2020",London,United Kingdom,-0.11
"Aug 14, 2020",London,United Kingdom,-0.1
"Aug 15, 2020",London,United Kingdom,-0.15
"Aug 16, 2020",London,United Kingdom,-0.18
"Aug 17, 2020",London,United Kingdom,-0.11
"Aug 18, 2020",London,United Kingdom,-0.12
"Aug 19, 2020",London,United Kingdom,-0.06
"Aug 20, 2020",London,United Kingdom,-0.1
"Aug 21, 2020",London,United Kingdom,-0.31
"Aug 22, 2020",London,United Kingdom,-0.15
"Aug 23, 2020",London,United Kingdom,-0.15
"Aug 24, 2020",London,United Kingdom,-0.08
"Aug 25, 2020",London,United Kingdom,-0.05
"Aug 26, 2020",London,United Kingdom,-0.08
"Aug 27, 2020",London,United Kingdom,-0.05
"Aug 28, 2020",London,United Kingdom,-0.14
"Aug 29, 2020",London,United Kingdom,-0.2
"Aug 30, 2020",London,United Kingdom,-0.1
"Aug 31, 2020",London,United Kingdom,0.09
"Sep 1, 2020",London,United Kingdom,0.02
"Sep 2, 2020",London,United Kingdom,-0.05
"Sep 3, 2020",London,United Kingdom,-0.05
"Sep 4, 2020",London,United Kingdom,-0.04
"Sep 5, 2020",London,United Kingdom,-0.05
"Sep 6, 2020",London,United Kingdom,-0.12
"Sep 7, 2020",London,United Kingdom,-0.05
"Sep 8, 2020",London,United Kingdom,-0.04
"Sep 9, 2020",London,United Kingdom,-0.03
"Sep 10, 2020",London,United Kingdom,-0.01
"Sep 11, 2020",London,United Kingdom,-0.01
"Sep 12, 2020",London,United Kingdom,-0.04
"Sep 13, 2020",London,United Kingdom,-0.02
"Sep 14, 2020",London,United Kingdom,0
"Sep 15, 2020",London,United Kingdom,0
"Sep 16, 2020",London,United Kingdom,-0.01
"Sep 17, 2020",London,United Kingdom,-0.02
"Sep 18, 2020",London,United Kingdom,-0.01
"Sep 19, 2020",London,United Kingdom,-0.03
"Sep 20, 2020",London,United Kingdom,-0.09
"Sep 21, 2020",London,United Kingdom,-0.04
"Sep 22, 2020",London,United Kingdom,-0.01
"Sep 23, 2020",London,United Kingdom,-0.03
"Sep 24, 2020",London,United Kingdom,-0.02
"Sep 25, 2020",London,United Kingdom,0.01
"Sep 26, 2020",London,United Kingdom,-0.06
"Sep 27, 2020",London,United Kingdom,-0.12
"Sep 28, 2020",London,United Kingdom,-0.05
"Sep 29, 2020",London,United Kingdom,-0.04
"Sep 30, 2020",London,United Kingdom,0.01
"Oct 1, 2020",London,United Kingdom,-0.13
"Oct 2, 2020",London,United Kingdom,0.02
"Oct 3, 2020",London,United Kingdom,-0.06
"Oct 4, 2020",London,United Kingdom,-0.18
"Oct 5, 2020",London,United Kingdom,-0.07
"Oct 6, 2020",London,United Kingdom,-0.02
"Oct 7, 2020",London,United Kingdom,-0.02
"Oct 8, 2020",London,United Kingdom,-0.03
"Oct 9, 2020",London,United Kingdom,0
"Oct 10, 2020",London,United Kingdom,-0.05
"Oct 11, 2020",London,United Kingdom,-0.12
"Oct 12, 2020",London,United Kingdom,-0.03
"Oct 13, 2020",London,United Kingdom,-0.03
"Oct 14, 2020",London,United Kingdom,-0.03
"Oct 15, 2020",London,United Kingdom,-0.02
"Oct 16, 2020",London,United Kingdom,0.01
"Oct 17, 2020",London,United Kingdom,-0.12
"Oct 18, 2020",London,United Kingdom,-0.25
"Oct 19, 2020",London,United Kingdom,-0.1
"Oct 20, 2020",London,United Kingdom,-0.09
"Oct 21, 2020",London,United Kingdom,-0.06
"Oct 22, 2020",London,United Kingdom,-0.12
"Oct 23, 2020",London,United Kingdom,-0.06
"Oct 24, 2020",London,United Kingdom,-0.12
"Oct 25, 2020",London,United Kingdom,-0.23
"Oct 26, 2020",London,United Kingdom,-0.06
"Oct 27, 2020",London,United Kingdom,-0.05
"Oct 28, 2020",London,United Kingdom,-0.05
"Oct 29, 2020",London,United Kingdom,-0.07
"Oct 30, 2020",London,United Kingdom,-0.04
"Oct 31, 2020",London,United Kingdom,-0.04
"Nov 1, 2020",London,United Kingdom,-0.06
"Nov 2, 2020",London,United Kingdom,0.02
"Nov 3, 2020",London,United Kingdom,0.09
"Nov 4, 2020",London,United Kingdom,0.19
"Nov 5, 2020",London,United Kingdom,-0.17
"Nov 6, 2020",London,United Kingdom,-0.25
"Nov 7, 2020",London,United Kingdom,-0.41
"Nov 8, 2020",London,United Kingdom,-0.49
"Nov 9, 2020",London,United Kingdom,-0.23
"Nov 10, 2020",London,United Kingdom,-0.23
"Nov 11, 2020",London,United Kingdom,-0.2
"Nov 12, 2020",London,United Kingdom,-0.24
"Nov 13, 2020",London,United Kingdom,-0.25
"Nov 14, 2020",London,United Kingdom,-0.38
"Nov 15, 2020",London,United Kingdom,-0.44
"Nov 16, 2020",London,United Kingdom,-0.21
"Nov 17, 2020",London,United Kingdom,-0.21
"Nov 18, 2020",London,United Kingdom,-0.24
"Nov 19, 2020",London,United Kingdom,-0.24
"Nov 20, 2020",London,United Kingdom,-0.23
"Nov 21, 2020",London,United Kingdom,-0.34
"Nov 22, 2020",London,United Kingdom,-0.41
"Nov 23, 2020",London,United Kingdom,-0.22
"Nov 24, 2020",London,United Kingdom,-0.19
"Nov 25, 2020",London,United Kingdom,-0.22
"Nov 26, 2020",London,United Kingdom,-0.2
"Nov 27, 2020",London,United Kingdom,-0.2
"Nov 28, 2020",London,United Kingdom,-0.32
"Nov 29, 2020",London,United Kingdom,-0.4
"Nov 30, 2020",London,United Kingdom,-0.2
"Dec 1, 2020",London,United Kingdom,-0.17
"Dec 2, 2020",London,United Kingdom,-0.07
"Dec 3, 2020",London,United Kingdom,-0.02
"Dec 4, 2020",London,United Kingdom,-0.06
"Dec 5, 2020",London,United Kingdom,-0.06
"Dec 6, 2020",London,United Kingdom,-0.14
"Dec 7, 2020",London,United Kingdom,-0.04
"Dec 8, 2020",London,United Kingdom,-0.03
"Dec 9, 2020",London,United Kingdom,-0.01
"Dec 10, 2020",London,United Kingdom,-0.04
"Dec 11, 2020",London,United Kingdom,0.01
"Dec 12, 2020",London,United Kingdom,-0.04
"Dec 13, 2020",London,United Kingdom,-0.14
"Dec 14, 2020",London,United Kingdom,0.01
"Dec 15, 2020",London,United Kingdom,0.08
"Dec 16, 2020",London,United Kingdom,-0.02
"Dec 17, 2020",London,United Kingdom,-0.12
"Dec 18, 2020",London,United Kingdom,-0.12
"Dec 19, 2020",London,United Kingdom,-0.18
"Dec 20, 2020",London,United Kingdom,-0.39
"Dec 21, 2020",London,United Kingdom,-0.21
"Dec 22, 2020",London,United Kingdom,-0.22
"Dec 23, 2020",London,United Kingdom,-0.21
"Dec 24, 2020",London,United Kingdom,-0.27
"Dec 25, 2020",London,United Kingdom,-0.45
"Dec 26, 2020",London,United Kingdom,-0.54
"Dec 27, 2020",London,United Kingdom,-0.51
"Dec 28, 2020",London,United Kingdom,-0.43
"Dec 29, 2020",London,United Kingdom,-0.35
"Dec 30, 2020",London,United Kingdom,-0.33
"Dec 31, 2020",London,United Kingdom,-0.3
"Jan 1, 2021",London,United Kingdom,-0.48
"Jan 2, 2021",London,United Kingdom,-0.52
"Jan 3, 2021",London,United Kingdom,-0.52
"Jan 4, 2021",London,United Kingdom,-0.33
"Jan 5, 2021",London,United Kingdom,-0.32
"Jan 6, 2021",London,United Kingdom,-0.36
"Jan 7, 2021",London,United Kingdom,-0.38
"Jan 8, 2021",London,United Kingdom,-0.38
"Jan 9, 2021",London,United Kingdom,-0.52
"Jan 10, 2021",London,United Kingdom,-0.56
"Jan 11, 2021",London,United Kingdom,-0.31
"Jan 12, 2021",London,United Kingdom,-0.34
"Jan 13, 2021",London,United Kingdom,-0.33
"Jan 14, 2021",London,United Kingdom,-0.35
"Jan 15, 2021",London,United Kingdom,-0.36
"Jan 16, 2021",London,United Kingdom,-0.5
"Jan 17, 2021",London,United Kingdom,-0.55
"Jan 18, 2021",London,United Kingdom,-0.3
"Jan 19, 2021",London,United Kingdom,-0.31
"Jan 20, 2021",London,United Kingdom,-0.31
"Jan 21, 2021",London,United Kingdom,-0.34
"Jan 22, 2021",London,United Kingdom,-0.32
"Jan 23, 2021",London,United Kingdom,-0.46
"Jan 24, 2021",London,United Kingdom,-0.59
"Jan 25, 2021",London,United Kingdom,-0.29
"Jan 26, 2021",London,United Kingdom,-0.3
"Jan 27, 2021",London,United Kingdom,-0.3
"Jan 28, 2021",London,United Kingdom,-0.3
"Jan 29, 2021",London,United Kingdom,-0.29
"Jan 30, 2021",London,United Kingdom,-0.42
"Jan 31, 2021",London,United Kingdom,-0.5
"Feb 1, 2021",London,United Kingdom,-0.29
"Feb 2, 2021",London,United Kingdom,-0.29
"Feb 3, 2021",London,United Kingdom,-0.32
"Feb 4, 2021",London,United Kingdom,-0.28
"Feb 5, 2021",London,United Kingdom,-0.28
"Feb 6, 2021",London,United Kingdom,-0.4
"Feb 7, 2021",London,United Kingdom,-0.52
"Feb 8, 2021",London,United Kingdom,-0.31
"Feb 9, 2021",London,United Kingdom,-0.3
"Feb 10, 2021",London,United Kingdom,-0.28
"Feb 11, 2021",London,United Kingdom,-0.29
"Feb 12, 2021",London,United Kingdom,-0.25
"Feb 13, 2021",London,United Kingdom,-0.35
"Feb 14, 2021",London,United Kingdom,-0.42
"Feb 15, 2021",London,United Kingdom,-0.22
"Feb 16, 2021",London,United Kingdom,-0.22
"Feb 17, 2021",London,United Kingdom,-0.21
"Feb 18, 2021",London,United Kingdom,-0.25
"Feb 19, 2021",London,United Kingdom,-0.23
"Feb 20, 2021",London,United Kingdom,-0.34
"Feb 21, 2021",London,United Kingdom,-0.43
"Feb 22, 2021",London,United Kingdom,-0.25
"Feb 23, 2021",London,United Kingdom,-0.22
"Feb 24, 2021",London,United Kingdom,-0.22
"Feb 25, 2021",London,United Kingdom,-0.24
"Feb 26, 2021",London,United Kingdom,-0.21
"Feb 27, 2021",London,United Kingdom,-0.27
"Feb 28, 2021",London,United Kingdom,-0.39
"Mar 1, 2021",London,United Kingdom,-0.21
"Mar 2, 2021",London,United Kingdom,-0.21
"Mar 3, 2021",London,United Kingdom,-0.19
"Mar 4, 2021",London,United Kingdom,-0.22
"Mar 5, 2021",London,United Kingdom,-0.2
"Mar 6, 2021",London,United Kingdom,-0.28
"Mar 7, 2021",London,United Kingdom,-0.38
"Mar 8, 2021",London,United Kingdom,-0.17
"Mar 9, 2021",London,United Kingdom,-0.15
"Mar 10, 2021",London,United Kingdom,-0.16
"Mar 11, 2021",London,United Kingdom,-0.18
"Mar 12, 2021",London,United Kingdom,-0.17
"Mar 13, 2021",London,United Kingdom,-0.25
"Mar 14, 2021",London,United Kingdom,-0.33
"Mar 15, 2021",London,United Kingdom,-0.16
"Mar 16, 2021",London,United Kingdom,-0.14
"Mar 17, 2021",London,United Kingdom,-0.14
"Mar 18, 2021",London,United Kingdom,-0.16
"Mar 19, 2021",London,United Kingdom,-0.14
"Mar 20, 2021",London,United Kingdom,-0.26
"Mar 21, 2021",London,United Kingdom,-0.35
"Mar 22, 2021",London,United Kingdom,-0.15
"Mar 23, 2021",London,United Kingdom,-0.15
"Mar 24, 2021",London,United Kingdom,-0.15
"Mar 25, 2021",London,United Kingdom,-0.14
"Mar 26, 2021",London,United Kingdom,-0.11
"Mar 27, 2021",London,United Kingdom,-0.21
"Mar 28, 2021",London,United Kingdom,-0.32
"Mar 29, 2021",London,United Kingdom,-0.1
"Mar 30, 2021",London,United Kingdom,-0.02
"Mar 31, 2021",London,United Kingdom,0
"Apr 1, 2021",London,United Kingdom,0.01
"Apr 2, 2021",London,United Kingdom,-0.2
"Apr 3, 2021",London,United Kingdom,-0.23
"Apr 4, 2021",London,United Kingdom,-0.23
"Apr 5, 2021",London,United Kingdom,-0.16
"Apr 6, 2021",London,United Kingdom,-0.06
"Apr 7, 2021",London,United Kingdom,-0.08
"Apr 8, 2021",London,United Kingdom,-0.1
"Apr 9, 2021",London,United Kingdom,-0.08
"Apr 10, 2021",London,United Kingdom,-0.2
"Apr 11, 2021",London,United Kingdom,-0.25
"Apr 12, 2021",London,United Kingdom,0.01
"Apr 13, 2021",London,United Kingdom,-0.01
"Apr 14, 2021",London,United Kingdom,-0.01
"Apr 15, 2021",London,United Kingdom,-0.03
"Apr 16, 2021",London,United Kingdom,-0.01
"Apr 17, 2021",London,United Kingdom,-0.01
"Apr 18, 2021",London,United Kingdom,-0.07
"Apr 19, 2021",London,United Kingdom,-0.01
"Apr 20, 2021",London,United Kingdom,-0.03
"Apr 21, 2021",London,United Kingdom,0
"Apr 22, 2021",London,United Kingdom,-0.02
"Apr 23, 2021",London,United Kingdom,0
"Apr 24, 2021",London,United Kingdom,-0.01
"Apr 25, 2021",London,United Kingdom,-0.12
"Apr 26, 2021",London,United Kingdom,-0.03
"Apr 27, 2021",London,United Kingdom,0.01
"Apr 28, 2021",London,United Kingdom,0.01
"Apr 29, 2021",London,United Kingdom,-0.01
"Apr 30, 2021",London,United Kingdom,0.07
"May 1, 2021",London,United Kingdom,0
"May 2, 2021",London,United Kingdom,-0.08
"May 3, 2021",London,United Kingdom,0.03
"May 4, 2021",London,United Kingdom,0.03
"May 5, 2021",London,United Kingdom,-0.01
"May 6, 2021",London,United Kingdom,-0.01
"May 7, 2021",London,United Kingdom,-0.01
"May 8, 2021",London,United Kingdom,-0.07
"May 9, 2021",London,United Kingdom,-0.11
"May 10, 2021",London,United Kingdom,-0.01
"May 11, 2021",London,United Kingdom,0.04
"May 12, 2021",London,United Kingdom,-0.04
"May 13, 2021",London,United Kingdom,0.04
"May 14, 2021",London,United Kingdom,0.02
"May 15, 2021",London,United Kingdom,0
"May 16, 2021",London,United Kingdom,-0.11
"May 17, 2021",London,United Kingdom,0.03
"May 18, 2021",London,United Kingdom,0.06
"May 19, 2021",London,United Kingdom,0.08
"May 20, 2021",London,United Kingdom,0.08
"May 21, 2021",London,United Kingdom,0.13
"May 22, 2021",London,United Kingdom,0.09
"May 23, 2021",London,United Kingdom,0.05
"May 24, 2021",London,United Kingdom,0.04
"May 25, 2021",London,United Kingdom,0.06
"May 26, 2021",London,United Kingdom,0.06
"May 27, 2021",London,United Kingdom,0.1
"May 28, 2021",London,United Kingdom,0.11
"May 29, 2021",London,United Kingdom,0.12
"May 30, 2021",London,United Kingdom,0.1
"May 31, 2021",London,United Kingdom,0.23
"Jun 1, 2021",London,United Kingdom,0.16
"Jun 2, 2021",London,United Kingdom,0.1
"Jun 3, 2021",London,United Kingdom,0.1
"Jun 4, 2021",London,United Kingdom,0.1
"Jun 5, 2021",London,United Kingdom,0.1
"Jun 6, 2021",London,United Kingdom,0.12
"Jun 7, 2021",London,United Kingdom,0.04
"Jun 8, 2021",London,United Kingdom,0.08
"Jun 9, 2021",London,United Kingdom,0.06